x y z u_s_num u_c_num u_s_exact u_c_exact err_s err_c
0.916667 0.5 0 0 -5.91459e-17 0 -5.91459e-17 0 1.2326e-32
0.958333 0.5 0 0 -6.07085e-17 0 -6.07085e-17 0 1.2326e-32
1 0.5 0 0 -6.12323e-17 0 -6.12323e-17 0 1.2326e-32
0 0.541667 0 0 -0.130526 0 -0.130526 0 2.77556e-17
0.0416667 0.541667 0 0 -0.12941 0 -0.12941 0 2.77556e-17
0.0833333 0.541667 0 0 -0.126079 0 -0.126079 0 2.77556e-17
0.125 0.541667 0 0 -0.12059 0 -0.12059 0 1.38778e-17
0.166667 0.541667 0 0 -0.113039 0 -0.113039 0 1.38778e-17
0.208333 0.541667 0 0 -0.103553 0 -0.103553 0 1.38778e-17
0.25 0.541667 0 0 -0.092296 0 -0.092296 0 1.38778e-17
0.291667 0.541667 0 0 -0.0794593 0 -0.0794593 0 1.38778e-17
0.333333 0.541667 0 0 -0.0652631 0 -0.0652631 0 1.38778e-17
0.375 0.541667 0 0 -0.0499502 0 -0.0499502 0 6.93889e-18
0.416667 0.541667 0 0 -0.0337827 0 -0.0337827 0 6.93889e-18
0.458333 0.541667 0 0 -0.0170371 0 -0.0170371 0 3.46945e-18
0.5 0.541667 0 0 -7.99242e-18 0 -7.99242e-18 0 1.54074e-33
0.541667 0.541667 0 0 0.0170371 0 0.0170371 0 -3.46945e-18
0.583333 0.541667 0 0 0.0337827 0 0.0337827 0 -6.93889e-18
0.625 0.541667 0 0 0.0499502 0 0.0499502 0 -6.93889e-18
0.666667 0.541667 0 0 0.0652631 0 0.0652631 0 -1.38778e-17
0.708333 0.541667 0 0 0.0794593 0 0.0794593 0 -1.38778e-17
0.75 0.541667 0 0 0.092296 0 0.092296 0 -1.38778e-17
0.791667 0.541667 0 0 0.103553 0 0.103553 0 -1.38778e-17
0.833333 0.541667 0 0 0.113039 0 0.113039 0 -1.38778e-17
0.875 0.541667 0 0 0.12059 0 0.12059 0 -1.38778e-17
0.916667 0.541667 0 0 0.126079 0 0.126079 0 -2.77556e-17
0.958333 0.541667 0 0 0.12941 0 0.12941 0 -2.77556e-17
1 0.541667 0 0 0.130526 0 0.130526 0 -2.77556e-17
0 0.583333 0 0 -0.258819 0 -0.258819 0 5.55112e-17
0.0416667 0.583333 0 0 -0.256605 0 -0.256605 0 5.55112e-17
0.0833333 0.583333 0 0 -0.25 0 -0.25 0 2.77556e-17
0.125 0.583333 0 0 -0.239118 0 -0.239118 0 2.77556e-17
0.166667 0.583333 0 0 -0.224144 0 -0.224144 0 2.77556e-17
0.208333 0.583333 0 0 -0.205335 0 -0.205335 0 2.77556e-17
0.25 0.583333 0 0 -0.183013 0 -0.183013 0 2.77556e-17
0.291667 0.583333 0 0 -0.157559 0 -0.157559 0 2.77556e-17
0.333333 0.583333 0 0 -0.12941 0 -0.12941 0 2.77556e-17
0.375 0.583333 0 0 -0.0990458 0 -0.0990458 0 1.38778e-17
0.416667 0.583333 0 0 -0.0669873 0 -0.0669873 0 1.38778e-17
0.458333 0.583333 0 0 -0.0337827 0 -0.0337827 0 6.93889e-18
0.5 0.583333 0 0 -1.58481e-17 0 -1.58481e-17 0 3.08149e-33
0.541667 0.583333 0 0 0.0337827 0 0.0337827 0 -6.93889e-18
0.583333 0.583333 0 0 0.0669873 0 0.0669873 0 -1.38778e-17
0.625 0.583333 0 0 0.0990458 0 0.0990458 0 -1.38778e-17
0.666667 0.583333 0 0 0.12941 0 0.12941 0 -2.77556e-17
0.708333 0.583333 0 0 0.157559 0 0.157559 0 -2.77556e-17
